LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 1.0
Lattice spacing in x,y,z = 1 1 1
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.5) to (20 20 0.5)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.5) to (20 20 0.5)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 31 31 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.055 | 3.055 | 3.055 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     36500   2.9544066      1.6010786      0              4.5480991      31.795319    
     37000   2.7969828      1.7440196      0              4.5340099      33.361453    
     37500   2.9082472      1.5472942      0              4.4482708      30.91805     
     38000   3.0648845      1.5682779      0              4.6255001      31.453219    
     38500   3.2543531      1.8155079      0              5.0617251      34.105036    
     39000   3.0032084      1.8165722      0              4.8122726      34.457007    
     39500   2.7593482      1.7346357      0              4.4870855      33.45655     
     40000   2.9130229      1.8800911      0              4.7858314      35.804796    
     40500   2.8221321      1.6449341      0              4.4600108      31.844269    
     41000   3.143609       1.4186169      0              4.5543669      29.35831     
     41500   2.8908563      1.7421035      0              4.6257327      32.63039     
     42000   2.6599906      1.5535316      0              4.2068722      31.166911    
     42500   2.7786229      1.6310997      0              4.402776       31.559631    
     43000   2.9598066      1.4852559      0              4.4376629      29.577839    
     43500   2.9455666      1.6314222      0              4.5696249      30.864446    
     44000   3.2521225      1.5265419      0              4.7705341      30.909665    
     44500   3.1324051      1.7187057      0              4.8432798      33.528902    
     45000   2.7964047      1.6672716      0              4.4566853      31.874063    
     45500   3.0313961      1.6473694      0              4.671187       32.479542    
     46000   3.2312815      1.7797705      0              5.0029738      34.245759    
     46500   3.2572485      1.6093755      0              4.8584809      31.847267    
     47000   3.2738464      1.4965647      0              4.7622265      30.999656    
     47500   3.364308       1.7249911      0              5.0808883      33.670648    
     48000   3.0485704      1.6740545      0              4.7150035      31.69651     
     48500   3.2338927      1.3053661      0              4.5311741      27.909062    
     49000   3.1818405      1.4646848      0              4.6385706      29.84474     
     49500   3.2996444      1.4953957      0              4.7867911      30.937944    
     50000   3.1444896      1.7294347      0              4.8660631      33.464448    
Loop time of 2.03382 on 1 procs for 50000 steps with 400 atoms

Performance: 21240831.286 tau/day, 24584.295 timesteps/s, 9.834 Matom-step/s
98.9% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 0.67918    | 0.67918    | 0.67918    |   0.0 | 33.39
Neigh   | 0.89823    | 0.89823    | 0.89823    |   0.0 | 44.16
Comm    | 0.094056   | 0.094056   | 0.094056   |   0.0 |  4.62
Output  | 0.0050198  | 0.0050198  | 0.0050198  |   0.0 |  0.25
Modify  | 0.2586     | 0.2586     | 0.2586     |   0.0 | 12.72
Other   |            | 0.09872    |            |       |  4.85

Nlocal:            400 ave         400 max         400 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:            105 ave         105 max         105 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:           1050 ave        1050 max        1050 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 1050
Ave neighs/atom = 2.625
Neighbor list builds = 16855
Dangerous builds = 0

unfix 1
dump           1 all atom ${run_steps} 2dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T0.1_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T0.1_d1.0_N${run_steps}.lammpstrj
dump           1 all atom 100000 2dWCA_T0.1_d1.0_N100000.lammpstrj
dump           2 all dcd ${thermo_time} 2dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T0.1_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T0.1_d1.0_N${run_steps}.dcd
dump           2 all dcd 500 2dWCA_T0.1_d1.0_N100000.dcd
fix 1 all nvt temp ${initial_temperature} ${final_temperature} ${tau}
fix 1 all nvt temp 3 ${final_temperature} ${tau}
fix 1 all nvt temp 3 0.1 ${tau}
fix 1 all nvt temp 3 0.1 1

run ${run_steps}
run 100000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 3.083 | 3.083 | 3.083 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     50000   3.1444896      1.7294347      0              4.8660631      33.464448    
     50500   3.1891477      1.4132825      0              4.5944573      29.482949    
     51000   3.1592064      1.7483107      0              4.8996191      33.944885    
     51500   3.2704448      1.4131183      0              4.6753869      29.245244    
     52000   3.0371824      1.6707219      0              4.7003114      32.853182    
     52500   2.8757144      1.5748863      0              4.4434114      30.811997    
     53000   2.9341566      1.5800182      0              4.5068395      31.333383    
     53500   2.7915358      1.5429852      0              4.3275421      30.961968    
     54000   3.1250585      1.4747748      0              4.5920207      29.819282    
     54500   3.1140261      1.6035775      0              4.7098185      31.880588    
     55000   2.9836076      1.493928       0              4.4700765      30.057177    
     55500   2.6560775      1.6098542      0              4.2592916      30.78873     
     56000   2.8376919      1.4035388      0              4.2341364      29.21437     
     56500   2.9389387      1.4331463      0              4.3647376      29.09511     
     57000   3.1941994      1.5080739      0              4.6942878      30.35447     
     57500   2.897628       1.4416035      0              4.3319874      29.609446    
     58000   2.8124526      1.4630965      0              4.268518       29.31403     
     58500   2.9143127      1.4274657      0              4.3344926      29.414773    
     59000   2.6868974      1.6187822      0              4.2989624      31.682951    
     59500   2.7242053      1.5577631      0              4.2751579      30.784406    
     60000   2.7119186      1.5736855      0              4.2788243      31.070636    
     60500   2.7564325      1.4314993      0              4.1810406      29.019289    
     61000   2.6317297      1.4056332      0              4.0307836      28.623527    
     61500   2.8271384      1.1061835      0              3.9262541      24.39956     
     62000   2.7441762      1.2519348      0              3.9892506      26.926014    
     62500   2.8351221      1.0261654      0              3.8541997      23.475462    
     63000   2.5704031      1.2026035      0              3.7665806      25.306693    
     63500   2.5281735      1.2263622      0              3.7482152      26.054121    
     64000   2.4165571      1.2985689      0              3.7090845      27.305793    
     64500   2.313215       1.3155037      0              3.6229357      27.811759    
     65000   2.5642347      1.3033464      0              3.8611705      27.494195    
     65500   2.3789447      1.3322376      0              3.705235       27.448657    
     66000   2.5625245      1.1294165      0              3.6855347      24.715768    
     66500   2.5478794      1.1119065      0              3.6534162      25.086524    
     67000   2.5044569      1.261641       0              3.7598368      27.011003    
     67500   2.4093973      1.2821583      0              3.6855321      27.196358    
     68000   2.3941387      1.4439661      0              3.8321195      29.62875     
     68500   2.4344712      1.0994871      0              3.5278722      23.921722    
     69000   2.4361246      1.2818118      0              3.7118462      26.718563    
     69500   2.3170117      1.0798343      0              3.3910534      24.599955    
     70000   2.445039       1.1742188      0              3.6131452      25.149674    
     70500   2.3599878      1.2660267      0              3.6201145      26.528568    
     71000   2.5747763      1.4386806      0              4.00702        29.068952    
     71500   2.4674061      1.0363492      0              3.4975868      23.559284    
     72000   2.1930843      1.2110472      0              3.3986488      25.524963    
     72500   2.4679132      1.2578217      0              3.7195651      26.963428    
     73000   2.4752545      1.3207215      0              3.7897879      27.060454    
     73500   2.2603043      1.1532363      0              3.4078899      25.109085    
     74000   2.4038407      0.88617475     0              3.2840058      21.229966    
     74500   2.3519278      1.0405887      0              3.3866367      23.541792    
     75000   2.4036198      1.1401503      0              3.537761       24.890128    
     75500   2.2888781      1.1439921      0              3.427148       24.877747    
     76000   2.3851183      1.1556055      0              3.534761       25.041976    
     76500   2.2357685      1.3620567      0              3.5922358      27.71047     
     77000   2.3629157      1.1260596      0              3.483068       24.376582    
     77500   2.2925991      1.0911301      0              3.3779978      23.7937      
     78000   2.3247298      1.0485238      0              3.3674417      23.594351    
     78500   2.2136925      1.1560625      0              3.3642207      24.859064    
     79000   2.3724262      1.0883025      0              3.4547976      23.904324    
     79500   2.088339       1.1433343      0              3.2264524      25.193902    
     80000   2.2763473      0.98742581     0              3.2580823      22.273716    
     80500   2.1015666      0.98280903     0              3.0791217      22.155264    
