LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 2d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       2

lattice         sq ${density}
lattice         sq 1.1
Lattice spacing in x,y,z = 0.95346259 0.95346259 0.95346259
region          box block 0 20 0 20 -0.5 0.5
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 -0.47673129) to (19.069252 19.069252 0.47673129)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 400 atoms
  using lattice units in orthogonal box = (0 0 -0.47673129) to (19.069252 19.069252 0.47673129)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 30 30 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/2d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.055 | 3.055 | 3.055 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              2.19122        0              5.18372        61.445802    
       500   3.0791881      2.4698071      0              5.5412972      50.863455    
      1000   3.0887042      2.3985636      0              5.479546       49.540855    
      1500   2.9863351      1.9455432      0              4.9244125      42.213361    
      2000   3.0298177      2.1959592      0              5.2182023      45.252932    
      2500   3.1613672      1.5828667      0              4.7363305      37.467322    
      3000   2.9168922      1.9950702      0              4.9046702      43.1905      
      3500   2.8951897      1.9149771      0              4.8029288      41.941855    
      4000   3.3590963      1.8468477      0              5.1975462      41.562152    
      4500   2.9363985      2.3080598      0              5.2371173      47.23804     
      5000   3.1494525      2.2451047      0              5.3866836      46.561989    
      5500   3.2835438      2.1116737      0              5.3870087      45.424626    
      6000   2.8878213      2.0579997      0              4.9386014      43.779683    
      6500   3.1690551      2.1552124      0              5.3163449      46.618646    
      7000   2.7154349      2.1795148      0              4.8881612      45.41896     
      7500   3.1281017      2.0563888      0              5.1766703      44.551403    
      8000   3.2555988      2.1947256      0              5.4421854      46.700501    
      8500   2.9198494      2.1218049      0              5.0343547      45.213182    
      9000   3.2089089      2.1248133      0              5.3256999      45.841038    
      9500   2.8915344      2.0653282      0              4.9496338      43.66313     
     10000   3.0990607      2.2590948      0              5.3504078      47.007302    
     10500   2.7827667      1.9440459      0              4.7198556      42.442958    
     11000   2.9556729      2.0249581      0              4.9732418      43.440096    
     11500   3.1377167      2.0399138      0              5.1697862      44.055837    
     12000   2.8672942      1.8435572      0              4.7036832      41.848731    
     12500   3.1156206      1.7628587      0              4.8706903      40.107667    
     13000   3.1066814      2.00126        0              5.1001746      43.927028    
     13500   3.2485872      1.9174027      0              5.1578684      42.83107     
     14000   3.323398       2.2108787      0              5.5259681      46.822304    
     14500   2.995836       1.9494795      0              4.9378259      41.970866    
     15000   3.0928647      2.1934221      0              5.2785546      46.234232    
     15500   3.1001399      2.0922784      0              5.184668       44.531903    
     16000   3.1436838      2.3034183      0              5.4392429      46.220583    
     16500   2.7168295      2.1918412      0              4.9018786      46.091481    
     17000   2.83924        2.1257616      0              4.9579035      44.626547    
     17500   2.8066214      2.0491199      0              4.8487248      43.144326    
     18000   3.1039406      1.8639948      0              4.9601755      41.953488    
     18500   3.07192        2.1642623      0              5.2285025      46.228544    
     19000   3.0906423      2.2085573      0              5.291473       46.121286    
